Date,Amount,CustomerID,SKU,Fullfilled
2023-01-01,10.5,abc,123,true
2023-01-02,15.2,def,456,false
2023-01-03,8.9,ghi,789,true
2023-01-04,12.3,jkl,234,false
2023-01-05,9.7,mno,567,true
2023-01-06,14.5,pqr,890,false
2023-01-07,11.0,stu,345,true
2023-01-08,16.3,vwx,678,false
2023-01-09,13.2,yz,901,true
2023-01-10,10.8,abc,234,false
2023-01-11,12.1,def,567,true
2023-01-12,14.9,ghi,890,false
2023-01-13,9.6,jkl,123,true
2023-01-14,11.4,mno,456,false
2023-01-15,13.7,pqr,789,true
2023-01-16,15.1,stu,234,false
2023-01-17,8.2,vwx,567,true
2023-01-18,9.5,yz,890,false
2023-01-19,11.8,abc,123,true
2023-01-20,16.5,def,456,false
2023-01-21,10.9,ghi,789,true
2023-01-22,12.6,jkl,234,false
2023-01-23,14.3,mno,567,true
2023-01-24,11.6,pqr,890,false
2023-01-25,9.3,stu,345,true
2023-01-26,16.2,vwx,678,false
2023-01-27,13.5,yz,901,true
2023-01-28,10.2,abc,234,false
2023-01-29,12.9,def,567,true
2023-01-30,15.4,ghi,890,false
2023-01-31,11.7,jkl,123,true
2023-02-01,13.9,mno,456,false
2023-02-02,9.8,pqr,789,true
2023-02-03,12.7,stu,234,false
2023-02-04,16.1,vwx,567,true
2023-02-05,10.3,yz,890,false
2023-02-06,11.5,abc,123,true
2023-02-07,14.2,def,456,false
2023-02-08,13.8,ghi,789,true
2023-02-09,9.9,jkl,234,false
2023-02-10,12.4,mno,567,true
2023-02-11,15.6,pqr,890,false
2023-02-12,11.3,stu,345,true
2023-02-13,13.4,vwx,678,false
2023-02-14,10.1,yz,901,true
2023-02-15,12.8,abc,234,false
2023-02-16,14.6,def,567,true
2023-02-17,9.2,ghi,890,false
2023-02-18,11.9,jkl,123,true
2023-02-19,13.1,mno,456,false
2023-02-20,15.9,pqr,789,true
